Cueanexo,id_localidad,Total de hogares,Hogares con población de 3 a 17,Poblacion de 3 a 17
20015500,2107001,"0,12119","0,095411","0,103102"
20015700,2107001,"0,09676","0,06536","0,071437"
20015701,2107001,"0,09676","0,06536","0,071437"
20015800,2105001,"0,098209","0,06655","0,07449"
20015801,2106001,"0,084574","0,046978","0,050029"
20015900,2115001,"0,095307","0,064774","0,067695"
20016000,2115001,"0,125029","0,124636","0,13695"
20016100,2111001,"0,0877","0,052422","0,05095"
20016300,2111001,"0,08078","0,033664","0,036524"
20016500,2107001,"0,091156","0,048571","0,048673"
20016600,2111001,"0,092344","0,05056","0,053425"
20016700,2111001,"0,101666","0,044915","0,04578"
20016800,2111001,"0,092344","0,05056","0,053425"
20016900,2107001,"0,119149","0,096526","0,106675"
20017000,2107001,"0,119149","0,096526","0,106675"
20017400,2103001,"0,111168","0,10414","0,120529"
20017500,2105001,"0,109149","0,079714","0,078639"
20017700,2110001,"0,111725","0,069611","0,075013"
20017701,2110001,"0,111725","0,069611","0,075013"
20017702,2110001,"0,114401","0,090517","0,097846"
20017800,2110001,"0,111725","0,069611","0,075013"
20018100,2111001,"0,092451","0,041225","0,040113"
20018400,2109001,"0,121428","0,087758","0,094742"
20018500,2109001,"0,129198","0,107933","0,120181"
20018600,2109001,"0,129198","0,107933","0,120181"
20018700,2109001,"0,129198","0,107933","0,120181"
20018701,2109001,"0,129198","0,107933","0,120181"
20018702,2109001,"0,129198","0,107933","0,120181"
20018800,2114001,"0,077756","0,041899","0,040736"
20018900,2114001,"0,077756","0,041899","0,040736"
20019000,2102001,"0,072948","0,060838","0,062302"
20019200,2107001,"0,12532","0,097671","0,099815"
20019300,2110001,"0,111725","0,069611","0,075013"
20019400,2107001,"0,121992","0,110413","0,119797"
20019600,2110001,"0,111725","0,069611","0,075013"
20019800,2111001,"0,092451","0,041225","0,040113"
20019900,2111001,"0,092344","0,05056","0,053425"
20020100,2114001,"0,078165","0,055862","0,052842"
20020101,2114001,"0,078165","0,055862","0,052842"
20020200,2115001,"0,089286","0,060796","0,063343"
20020300,2115001,"0,081103","0,056974","0,065211"
20020700,2112001,"0,078461","0,041499","0,041109"
20020800,2112001,"0,078461","0,041499","0,041109"
20020900,2115001,"0,097425","0,049921","0,05366"
20020901,2115001,"0,097425","0,049921","0,05366"
20020902,2115001,"0,097425","0,049921","0,05366"
20021200,2114001,"0,105903","0,128472","0,177734"
20021300,2113001,"0,078317","0,03716","0,036958"
20021400,2105001,"0,110752","0,106705","0,1121"
20021500,2111001,"0,101446","0,074579","0,08059"
20021600,2111001,"0,100691","0,074874","0,083777"
20021700,2113001,"0,088734","0,040228","0,036787"
20021800,2113001,"0,087391","0,041638","0,038318"
20021900,2111001,"0,094465","0,05728","0,055302"
20022000,2107001,"0,092189","0,0619","0,063927"
20022001,2107001,"0,114251","0,078508","0,083498"
20022002,2107001,"0,114251","0,078508","0,083498"
20022100,2115001,"0,079","0,059011","0,059099"
20022300,2115001,"0,079","0,059011","0,059099"
20022400,2115001,"0,079","0,059011","0,059099"
20022500,2115001,"0,084684","0,075983","0,087757"
20023000,2112001,"0,077955","0,040007","0,040254"
20023100,2112001,"0,087593","0,054062","0,05307"
20023200,2101001,"0,117799","0,107658","0,118415"
20023300,2101001,"0,117799","0,107658","0,118415"
20023400,2115001,"0,083724","0,061937","0,058658"
20023500,2115001,"0,083724","0,061937","0,058658"
20023600,2105001,"0,102503","0,073398","0,07267"
20023700,2112001,"0,097573","0,074517","0,079076"
20023900,2114001,"0,072948","0,060838","0,062302"
20023901,2113001,"0,085112","0,050363","0,050433"
