id,Localidad
34014006,AMARILLA
34028067,POZO EL YACARE
34056033,CAMPO HARDY
34042067,SALVACION
34056226,PALO SANTO
34014161,VILLA TRINIDAD
34063087,TRES PALMAS
34035278,KILOMETRO 15
34007146,LAGUNITA
34056057,COLONIA ESPERANZA
34035510,PUERTO LAVALLE
38042011,EL PONGO
38042025,PALPALA
38112074,RODEO
38077041,PIZCUNO
38077046,PUESTO GRANDE
38070052,LA LUCRECIA
38035022,CALILEGUA
38063044,RODEITO
38007118,RINCONADILLAS
42133006,FALUCHO
42119002,COLONIA BARON
42119011,VILLA MIRASOL
42035006,MAURICIO MAYER
42105010,ESTANCIA SANTA AURELIA
42140001,CACHIRULO
42028007,URIBURU
42007005,HIDALGO
46007002,ARAUCO
46021008,LOS MOLINOS
46098004,POTRERO GRANDE
46063013,EL CONSUELO
46098008,BAJO JAGUE
46035048,EL RETAMO
46091014,EL CADILLO
46105009,PAGANZO
46056003,BAJO VERDE
46112026,EL CARDON
46084017,EL FRAILE
46112024,EL BARRIAL
46070057,SOLCA
50014008,EL CEIBO
50028005,COLONIA SEGOVIA
50049009,EL PLUMERILLO (LAS HERAS)
50049007,EL CHALLAO (LAS HERAS)
50042016,EL CAMPAMENTO
50112018,SANTA ROSA
50042003,DESAGUADERO
50056032,SAN MIGUEL
50105053,SOITUE
50105055,VILLA ATUEL NORTE
50021006,PRESIDENTE SARMIENTO (GODOY CRUZ)
50091023,LA CAÑADA
50084004,BARRIO RIVADAVIA
50119007,LAS PINTADAS
50105027,EL TOLEDANO
50084021,MUNDO NUEVO
50063028,BARRIO PERDRIEL IV
50105077,BARRIO EMPLEADOS DE COMERCIO
54063023,WANDA
54028009,GARUPA
54077004,COLONIA EL ALCAZAR
54070002,ARROYO DEL MEDIO
54084013,PUERTO PIRAY
54077010,EL ALCAZAR
54098002,COLONIA POLANA
54035008,PUERTO SAN ISIDRO
54049036,CERRO SIETE (SAN ANTONIO)
54084002,COLONIA CARAGUATAY
54049015,PARAJE 130
54056033,COLONIA MANUEL BELGRANO
54056024,GUIRAY
58105028,MALLIN DE LOS CABALLOS
58084037,TAQUIMILAN
58056020,LAGO HERMOSO
58091008,BUTA RANQUIL
58007035,LONCO LUAN
58007037,LONCO MULA
58014012,AGUADA SAN ROQUE
58098012,PASO AGUERRE
58049002,ATREUCO (RAI)
58112057,LA PATAGONIA
58049043,CONFLUENCIA DEL MALLEO
62028013,GENERAL CONESA
62091041,MAQUINCHAO
62091040,LOS MENUCOS
62021033,VILLA LOS COIHUES
62063014,COLONIA EL GUALICHO
62021007,CUESTA DEL TERNERO
62021024,RIO VILLEGAS
62049008,COMICO
62091019,CLEMENTE ONELLI
66140218,ROSARIO DE LA FRONTERA
66049082,GENERAL GÜEMES
66154150,SAN LUCAS
66140236,SANTA MARIA
66007174,FINCA EL ALGARROBAL
66084005,LA CANDELARIA
66070026,LIMONCITOS
66056027,CAMPO DURAN
66147067,FINCA CAMARA
66140026,CAMARA
66126175,POZO CERCADO
66126004,AGUAS BLANCAS
66077031,LA CALDERILLA
66028087,LA CIENAGA
66161067,LA FALDA
66147014,CERRO NEGRO DE TIRAO
66147010,CARABAJAL
66133387,MISION SAN LUIS
66112004,ARMONIA
66056109,EL SAUZAL
66133037,CIERVO CANSADO
66154039,EL BARRIAL
66098064,POTRERO DIAZ
66056117,EL TASIL
66070015,CORTADERAS
66133022,CAMPO LARGO
66161078,LIPEO
66133111,EL PELICANO
66056257,MONTE SECO
70098012,ALTO DE SIERRA
70056029,PAMPA DEL CHAÑAR
70021017,TAMBERIAS
70021016,SOROCAYENSE
70014011,PUNTA DEL MONTE
70014004,LAS TAPIAS
70119020,VILLA SAN AGUSTIN
70119006,BALDES DEL SUR
70119002,BALDES DE LA CHILCA
70070024,CAMPO DE BATALLA
70035018,VALLECITO
70056030,PAMPA VIEJA
70091013,BOCA DEL TIGRE
70056019,GUALCAMAYO
70133005,ZONDA VIEJO
74021054,VALLE DE PANCANTA
74021032,LA TOTORA
74007011,CANDELARIA
74063064,PLANTA DE SANDIA
74007012,CARPINTERIA
74014058,TORO NEGRO
74028025,LAS ROSAS
74035010,JUAN LLERENA
74014024,EL RECODO
74028039,RENCA
74028008,EL ALGARROBAL
74042005,BATAVIA
74049017,LA CHILCA
74063002,BARRANCA ALTA
74049002,BALDE DE ESCUDERO
74028046,TILISARAO
74007039,LA CAÑADA
74063999,NO FIGURA EN TABLA
78042033,PUERTO SAN JULIAN
78014077,LAS HERAS
82070003,CAVOUR
82070005,CORONEL RODRIGUEZ
82014017,SAN JOSE DE LA ESQUINA
82070043,SAN MARIANO
82119009,LUIS PALACIOS
82042048,VENADO TUERTO
82119015,ROLDAN
82119010,MAIZALES
82112014,LA CAMILA
82063001,ANGEL GALLARDO
82098008,COSTA DEL TOBA
82028013,JUNCAL
82077017,POZO BORRADO
82007008,LAS ROSAS
82070013,FRANK
82070006,CULULU
82098028,EL GUSANO
82133051,TARTAGAL
82035007,HELVECIA
82021053,SAN VICENTE
82021070,COLONIA ALDAO
82049037,LAS GARZAS
82056022,SERODINO
82042041,SAN GREGORIO
82049015,EL RABON
82091030,LAS PALMERAS
82028011,GODOY
82049041,LOS LAURELES
82091029,LAS AVISPAS
82084037,PUEBLO URANGA
86119031,SAN FELIPE
86028027,EL BRACHO
86133018,NUEVO SIMBOLAR
86133036,EL ROSADO
86049001,ANTILO
86133024,SAN RAMON
86133048,TACO PUNCO
86154020,PALO NEGRO
86154023,LA HUANACA
86154002,COLONIA ALPINA
86014149,SANTOS LUGARES
86168036,VERON
86049074,LOS POSITOS
86098047,SANTA MARIA
86063001,25 DE MAYO DE BANEGAS
86063031,EL SALVADOR
86028071,SAN ANTONIO
86028065,PUNTA POZO
86028004,BREAYOJ
86063037,ESTACION LA PUNTA
86168030,SAN NICOLAS
86189021,MANOGASTA
86126040,LA SOLEDAD
86056012,DOS ARBOLES
86056058,RANCHILLOS
86021061,COLLERA HUARCANA
86021015,ESTACION ATAMISQUI
86021067,TASIGASTA
86021042,SAN DIONISIO
86168039,EL ALBARDON
86140034,LA CHICHARRA
86140043,FUERTE VIEJO
86091003,BUEN LUGAR
86161024,MORCILLO
86175085,TRES JAZMINES
86091042,LOS RALOS
86175038,LA BLANCA
86035066,LAS ABRAS
86035050,JUMIALITO
86126011,LOMITAS BLANCAS
86070076,POZO CAVADO
86070091,SAN FELIX
86070001,AGUAS COLORADAS
86147017,LOS MIRANDA
