anio,id_departamento,clae6,Empleo_Varones,Empleo_Mujeres,Establecimientos_Varones,Establecimientos_Mujeres,empresas_exportadoras
2022,6560,452910,5,1,3,1,0
2022,6560,452990,32,1,12,1,0
2022,6560,453100,53,11,11,5,0
2022,6560,453210,24,3,6,3,0
2022,6560,453291,86,4,31,3,0
2022,6560,453292,10,6,1,1,0
2022,6560,454010,19,4,4,2,0
2022,6560,461032,15,19,2,3,0
2022,6560,461040,11,8,1,1,0
2022,6560,461094,10,3,2,2,0
2022,6560,461099,7,6,3,2,0
2022,6560,462190,1,1,1,1,0
2022,6560,463112,38,5,4,2,0
2022,6560,463151,7,3,3,1,0
2022,6560,463154,3,2,1,2,0
2022,6560,463160,147,50,10,6,2
2022,6560,463170,20,3,5,1,0
2022,6560,463180,221,62,10,9,6
2022,6560,463199,186,69,23,15,0
2022,6560,463219,10,2,2,1,0
2022,6560,463220,216,27,3,3,0
2022,6560,463300,4,4,2,1,0
2022,6560,464111,4,1,2,1,0
2022,6560,464129,1,2,1,1,0
2022,6560,464149,9,3,2,2,0
2022,6560,464150,5,3,2,2,0
2022,6560,464223,9,5,6,4,0
2022,6560,464310,10,1,3,1,2
2022,6560,464320,39,13,5,3,0
2022,6560,464410,2,1,1,1,0
2022,6560,464610,6,8,1,1,0
2022,6560,464632,6,1,3,1,0
2022,6560,464920,23,11,7,2,0
2022,6560,464930,1,1,1,1,0
2022,6560,464999,8,8,4,2,0
2022,6560,465220,1,1,1,1,0
2022,6560,465310,60,26,3,2,0
2022,6560,465390,128,65,7,6,6
2022,6560,465990,20,3,3,3,0
2022,6560,466121,34,2,3,2,0
2022,6560,466200,51,3,5,3,2
2022,6560,466310,14,1,2,1,0
2022,6560,466320,16,2,4,2,0
2022,6560,466330,32,8,7,3,0
2022,6560,466350,16,1,1,1,0
2022,6560,466391,3,2,1,1,2
2022,6560,466399,73,18,8,5,0
2022,6560,466932,13,2,2,1,0
2022,6560,466939,3,1,1,1,2
2022,6560,469090,211,25,12,6,2
2022,6560,471110,359,244,10,10,20
2022,6560,471120,330,199,30,25,6
2022,6560,471130,72,42,25,25,0
2022,6560,471190,17,37,11,21,0
2022,6560,471900,20,11,2,2,0
2022,6560,472112,22,4,7,3,0
2022,6560,472120,18,18,9,16,0
2022,6560,472130,66,12,26,10,0
2022,6560,472140,31,5,8,3,0
2022,6560,472150,1,1,1,1,0
2022,6560,472160,5,3,3,2,0
2022,6560,472171,47,45,19,14,0
2022,6560,472172,6,5,3,3,0
2022,6560,472190,84,63,28,24,0
2022,6560,472200,2,1,2,1,0
2022,6560,473000,273,268,33,32,0
2022,6560,474010,7,4,4,4,0
2022,6560,474020,13,13,6,7,0
2022,6560,475190,4,8,4,7,0
2022,6560,475210,24,10,9,4,0
2022,6560,475220,17,2,3,2,0
2022,6560,475230,76,11,32,10,0
2022,6560,475240,70,1,22,1,0
2022,6560,475250,8,2,3,2,0
2022,6560,475260,6,1,1,1,0
2022,6560,475270,3,1,2,1,0
2022,6560,475290,182,37,38,16,0
2022,6560,475300,105,46,15,11,0
2022,6560,475410,36,17,7,7,0
2022,6560,475420,11,10,3,5,0
2022,6560,475430,59,14,7,4,0
2022,6560,475440,8,18,5,9,0
2022,6560,475490,60,14,4,4,0
2022,6560,476110,12,7,2,4,0
2022,6560,476130,23,15,9,10,0
2022,6560,476310,23,8,5,4,0
2022,6560,476400,32,45,11,12,0
2022,6560,477110,4,11,2,4,0
2022,6560,477120,1,4,1,2,0
2022,6560,477130,1,11,1,5,0
2022,6560,477140,9,11,3,5,0
2022,6560,477190,33,129,15,55,0
2022,6560,477220,12,58,8,14,0
2022,6560,477230,10,15,7,8,0
2022,6560,477310,91,254,31,52,0
2022,6560,477320,87,138,10,20,4
2022,6560,477330,3,6,2,2,0
2022,6560,477410,2,19,1,10,0
2022,6560,477420,1,7,1,5,0
2022,6560,477440,7,4,4,1,0
2022,6560,477450,23,10,11,8,0
2022,6560,477460,42,4,6,1,0
2022,6560,477470,13,8,5,6,0
2022,6560,477490,26,6,10,4,2
2022,6560,479101,4,2,2,2,0
2022,6560,479900,8,4,6,2,0
2022,6560,491110,71,13,5,4,0
2022,6560,491200,32,1,2,1,0
2022,6560,492110,1607,22,5,2,0
2022,6560,492120,10,6,5,4,0
2022,6560,492190,6,1,3,1,0
2022,6560,492229,84,26,5,1,0
2022,6560,492250,87,2,3,1,0
2022,6560,492280,261,9,30,4,0
2022,6560,492290,532,38,67,14,0
2022,6560,521010,15,2,1,1,0
2022,6560,522099,24,1,2,1,0
2022,6560,523090,175,6,23,5,0
2022,6560,524120,2,1,2,1,0
2022,6560,524190,6,1,3,1,0
2022,6560,530010,51,15,5,4,5
2022,6560,530090,3,1,1,1,0
2022,6560,551010,28,78,8,10,0
2022,6560,551022,3,14,2,2,0
2022,6560,552000,1,1,1,1,0
2022,6560,561011,34,31,12,11,0
2022,6560,561013,135,230,20,19,4
2022,6560,561014,8,5,3,3,0
2022,6560,561019,147,149,27,33,4
2022,6560,561020,6,2,4,1,0
2022,6560,561030,24,7,13,6,0
2022,6560,562010,18,12,8,6,0
2022,6560,562091,4,15,2,2,0
2022,6560,562099,4,3,2,1,0
2022,6560,591300,23,30,2,2,2
2022,6560,602200,13,2,2,2,0
2022,6560,611090,35,16,2,3,5
2022,6560,612000,3,1,2,1,3
2022,6560,620100,11,4,6,4,0
2022,6560,620900,2,4,1,2,2
2022,6560,631190,17,14,1,1,0
2022,6560,641100,3,1,1,1,0
2022,6560,641910,5,2,1,2,0
2022,6560,641930,43,56,9,9,0
2022,6560,649220,7,13,3,3,0
2022,6560,649290,7,12,2,3,0
2022,6560,649999,1,1,1,1,0
2022,6560,651220,2,1,1,1,0
2022,6560,651310,39,76,8,10,0
2022,6560,661999,3,3,3,2,0
2022,6560,662020,9,26,6,14,0
2022,6560,681010,3,1,2,1,0
2022,6560,681098,47,16,22,12,0
2022,6560,681099,4,2,2,1,0
2022,6560,682099,13,8,4,5,0
2022,6560,691001,7,11,5,7,0
2022,6560,691002,2,18,2,9,0
2022,6560,692000,6,23,4,12,0
2022,6560,702091,5,4,4,2,0
2022,6560,702092,5,12,3,5,0
2022,6560,702099,23,9,2,4,0
2022,6560,711001,45,4,12,3,0
2022,6560,711003,5,1,2,1,0
2022,6560,711009,18,2,4,1,0
2022,6560,749009,4,2,2,2,0
2022,6560,750000,5,13,4,7,0
2022,6560,773090,2,1,2,1,1
2022,6560,780000,509,113,38,24,0
2022,6560,791100,4,13,4,6,0
2022,6560,791200,1,2,1,1,0
2022,6560,791909,13,1,2,1,0
2022,6560,801090,394,25,25,7,0
2022,6560,812010,167,150,25,33,0
2022,6560,812020,3,1,1,1,0
2022,6560,812090,24,22,8,9,0
2022,6560,813000,70,1,3,1,0
2022,6560,821100,1,2,1,1,0
2022,6560,821900,3,2,2,1,0
2022,6560,829100,3,3,2,2,0
2022,6560,829900,184,81,33,37,1
2022,6560,841100,9,9,3,2,0
2022,6560,841900,31,16,3,4,0
2022,6560,851020,878,2810,52,55,0
2022,6560,852100,41,101,2,2,0
2022,6560,853100,18,58,1,1,0
2022,6560,854910,2,17,1,1,0
2022,6560,854920,1,1,1,1,0
2022,6560,854990,7,35,5,5,0
2022,6560,861010,73,199,1,1,0
2022,6560,862110,1,9,1,9,0
2022,6560,862120,2,2,2,1,0
2022,6560,862200,6,48,1,17,0
2022,6560,863110,8,29,1,7,0
2022,6560,863120,13,22,4,4,0
2022,6560,863200,32,65,9,8,2
2022,6560,863300,5,5,1,3,0
2022,6560,864000,42,17,7,4,0
2022,6560,869010,3,19,1,2,0
2022,6560,869090,76,322,14,33,0
2022,6560,870100,12,43,2,1,0
2022,6560,870210,2,36,2,10,0
2022,6560,870220,21,64,3,4,0
2022,6560,880000,39,78,4,5,0
2022,6560,920001,12,56,11,30,0
2022,6560,920009,133,98,3,7,0
2022,6560,931010,41,22,5,3,0
2022,6560,931020,24,17,6,7,0
2022,6560,931090,1,1,1,1,0
2022,6560,939090,23,18,4,5,0
2022,6560,941100,9,12,2,3,0
2022,6560,941200,4,9,2,3,0
2022,6560,942000,197,150,19,19,0
2022,6560,949100,64,96,8,7,1
2022,6560,949910,2,6,2,2,0
2022,6560,949920,110,38,21,9,0
2022,6560,949990,325,269,31,30,0
2022,6560,960201,2,3,1,2,0
2022,6560,960202,1,16,1,9,0
2022,6560,960300,4,4,3,2,0
2022,6560,960990,27,8,11,6,0
2022,6568,11119,7,2,4,1,2
2022,6568,11211,5,2,4,2,0
2022,6568,14113,38,4,19,4,0
2022,6568,14114,2,1,2,1,0
2022,6568,14510,13,4,2,2,0
2022,6568,14610,5,1,2,1,0
2022,6568,14810,25,4,4,1,0
2022,6568,14820,3,1,1,1,0
2022,6568,16291,3,1,1,1,0
2022,6568,51000,13,13,1,1,0
2022,6568,101011,159,12,7,3,1
2022,6568,101012,33,1,6,1,0
2022,6568,101030,51,8,6,4,0
2022,6568,103012,122,42,1,1,2
2022,6568,103091,3,1,2,1,0
2022,6568,104011,13,3,1,1,2
2022,6568,105020,10,5,1,1,0
2022,6568,105030,51,9,9,2,0
2022,6568,106131,104,30,1,1,0
2022,6568,106139,16,2,1,1,0
2022,6568,107110,210,89,5,6,5
2022,6568,107121,1,2,1,1,0
2022,6568,107129,131,92,32,32,0
2022,6568,107309,11,12,6,5,0
2022,6568,107410,79,39,13,12,0
2022,6568,107500,7,8,4,3,0
2022,6568,107912,6,1,1,1,0
2022,6568,107991,2,1,1,1,0
2022,6568,107999,299,142,14,15,4
2022,6568,110411,16,1,4,1,0
2022,6568,110412,122,11,8,5,0
2022,6568,131131,108,65,2,2,4
2022,6568,131132,392,35,6,3,4
2022,6568,131139,1,1,1,1,0
2022,6568,131209,19,6,3,4,0
2022,6568,131300,42,6,4,3,0
2022,6568,139100,5,5,2,3,2
2022,6568,139201,5,8,2,1,2
2022,6568,139204,10,1,1,1,0
2022,6568,139209,64,7,6,4,0
2022,6568,139400,12,2,1,1,0
2022,6568,139900,313,133,25,19,5
2022,6568,141110,4,26,1,2,0
2022,6568,141120,3,3,1,2,0
2022,6568,141130,4,61,2,8,6
2022,6568,141191,3,2,1,2,0
2022,6568,141199,45,74,19,30,2
2022,6568,143010,57,4,2,2,0
2022,6568,143020,5,5,1,1,2
2022,6568,151200,16,9,6,3,2
2022,6568,152011,115,107,8,7,0
2022,6568,152021,61,22,8,9,0
2022,6568,152031,4,4,2,2,2
2022,6568,152040,8,2,2,2,0
2022,6568,161001,10,4,2,1,0
2022,6568,162201,25,2,4,1,0
2022,6568,162300,41,5,2,2,2
2022,6568,162901,5,1,1,1,0
2022,6568,170201,192,35,1,1,2
2022,6568,170202,36,11,5,1,0
2022,6568,170910,38,6,8,3,2
2022,6568,170990,82,29,9,9,5
2022,6568,181109,150,36,16,5,4
2022,6568,181200,23,4,11,4,0
2022,6568,202200,14,4,3,2,0
2022,6568,202320,21,27,3,4,3
2022,6568,202907,9,2,1,1,2
2022,6568,202908,170,33,11,5,8
2022,6568,210010,76,58,4,4,4
2022,6568,210020,69,36,2,2,4
2022,6568,221901,105,6,1,1,2
2022,6568,221909,47,45,7,5,2
2022,6568,222010,114,10,15,7,4
2022,6568,222090,916,100,60,30,11
2022,6568,239591,2,1,1,1,0
2022,6568,239592,24,7,2,2,0
2022,6568,239600,80,9,6,5,1
2022,6568,239900,75,11,3,2,2
2022,6568,241001,30,5,2,2,0
2022,6568,241009,240,24,10,10,8
2022,6568,242090,27,3,3,2,0
2022,6568,251101,48,6,9,5,0
2022,6568,251102,45,10,8,4,2
2022,6568,251200,53,15,3,2,2
2022,6568,259100,19,2,5,2,0
2022,6568,259200,47,9,6,4,0
2022,6568,259301,22,2,2,2,0
2022,6568,259302,111,14,2,2,2
2022,6568,259910,153,12,2,3,2
2022,6568,259993,196,21,23,6,4
2022,6568,259999,177,25,31,15,5
2022,6568,262000,5,1,3,1,0
2022,6568,265101,27,5,3,1,0
2022,6568,266010,16,2,3,2,0
2022,6568,266090,44,10,4,2,4
2022,6568,267001,47,16,5,4,0
2022,6568,271010,17,10,5,2,0
2022,6568,271020,16,5,3,3,0
2022,6568,273190,21,7,3,3,0
2022,6568,274000,22,10,6,6,3
2022,6568,275010,23,1,1,1,0
2022,6568,275020,68,38,3,2,3
2022,6568,275099,13,6,5,3,0
2022,6568,279000,53,11,7,5,2
2022,6568,281201,9,1,2,1,0
2022,6568,281301,7,1,2,1,0
2022,6568,281400,153,7,2,2,4
2022,6568,281600,100,15,6,6,2
2022,6568,281900,64,12,7,3,0
2022,6568,282200,22,5,2,3,2
2022,6568,282300,15,2,3,2,2
2022,6568,282400,12,2,1,1,0
2022,6568,282909,202,52,13,8,12
2022,6568,292000,13,3,1,1,0
2022,6568,293090,122,58,15,5,7
2022,6568,303000,55,11,6,3,3
2022,6568,309200,41,4,1,1,0
2022,6568,309900,29,1,1,1,0
2022,6568,310010,240,37,38,15,0
2022,6568,310020,128,25,10,4,3
2022,6568,310030,1,2,1,1,2
2022,6568,321011,1,2,1,1,0
2022,6568,324000,25,8,4,2,2
2022,6568,329010,2,2,1,1,0
2022,6568,329030,11,1,1,1,2
2022,6568,329090,123,20,13,9,5
2022,6568,331210,4,1,1,1,0
2022,6568,331290,10,3,4,2,0
2022,6568,331301,6,1,1,1,0
2022,6568,351320,225,31,6,3,0
2022,6568,352020,12,7,2,2,0
2022,6568,370000,21,1,6,1,0
2022,6568,382020,29,12,4,1,0
2022,6568,410011,395,43,86,21,0
2022,6568,410021,233,5,36,3,0
2022,6568,421000,138,13,16,4,0
2022,6568,422200,205,16,17,6,1
2022,6568,429090,138,15,23,7,0
2022,6568,432190,231,21,32,10,2
2022,6568,432200,93,3,19,3,0
2022,6568,433010,48,3,9,2,0
2022,6568,439990,90,16,9,6,0
2022,6568,451110,101,34,13,11,0
2022,6568,451190,72,23,6,7,0
2022,6568,451210,43,13,5,4,0
2022,6568,451290,3,1,1,1,0
2022,6568,452101,97,3,9,2,0
2022,6568,452210,19,2,3,1,0
2022,6568,452600,58,5,20,4,0
2022,6568,452800,10,2,1,1,0
2022,6568,452990,80,6,31,5,0
2022,6568,453100,131,30,24,14,4
2022,6568,453210,135,35,18,7,0
2022,6568,453291,170,18,49,10,1
2022,6568,454010,33,3,8,3,0
2022,6568,461021,5,1,1,1,0
2022,6568,461040,28,24,2,2,0
2022,6568,461091,1,3,1,1,0
2022,6568,461099,2,1,1,1,0
2022,6568,463112,37,8,6,4,0
2022,6568,463129,6,2,3,2,0
2022,6568,463151,13,5,5,4,0
2022,6568,463154,15,5,2,2,0
2022,6568,463160,84,69,13,13,2
2022,6568,463170,25,7,4,2,0
2022,6568,463180,98,48,8,4,3
2022,6568,463199,220,52,38,16,0
2022,6568,463219,148,23,10,6,0
2022,6568,463220,95,13,2,1,0
2022,6568,463300,13,9,4,3,0
2022,6568,464119,8,13,3,2,2
2022,6568,464129,4,15,2,4,0
2022,6568,464130,4,6,3,1,2
2022,6568,464150,2,2,1,2,0
2022,6568,464211,1,5,1,2,0
2022,6568,464221,10,3,4,1,2
2022,6568,464222,8,4,2,2,0
2022,6568,464223,28,10,9,6,0
2022,6568,464310,187,171,8,9,4
2022,6568,464320,36,25,6,8,2
2022,6568,464330,22,13,4,3,0
2022,6568,464502,4,5,2,2,2
2022,6568,464620,21,6,5,3,0
2022,6568,464632,19,6,5,3,0
2022,6568,464920,48,18,6,5,0
2022,6568,464930,9,8,3,1,0
2022,6568,464950,5,1,3,1,0
2022,6568,464991,6,1,2,1,0
2022,6568,464999,10,4,2,3,0
2022,6568,465100,14,3,4,1,0
2022,6568,465220,1,1,1,1,0
2022,6568,465310,212,46,5,3,2
2022,6568,465320,3,1,1,1,0
2022,6568,465330,4,2,2,2,0
2022,6568,465340,14,5,4,4,0
2022,6568,465350,12,7,4,3,0
2022,6568,465360,2,1,1,1,0
2022,6568,465390,3,2,1,1,0
2022,6568,465400,8,1,3,1,1
2022,6568,465910,19,4,4,2,0
2022,6568,465930,23,14,5,4,1
2022,6568,465990,54,14,8,5,4
2022,6568,466110,34,6,4,2,0
2022,6568,466200,32,5,6,3,0
2022,6568,466320,10,2,2,2,0
2022,6568,466330,181,35,26,17,0
2022,6568,466340,19,4,4,2,0
2022,6568,466350,29,8,2,3,0
2022,6568,466360,98,34,12,10,0
2022,6568,466399,105,23,9,4,0
2022,6568,466931,17,5,6,4,4
2022,6568,466932,3,4,1,2,0
2022,6568,469010,1,3,1,1,0
2022,6568,469090,178,89,52,39,2
2022,6568,471110,298,256,10,10,20
2022,6568,471120,176,117,16,14,2
2022,6568,471130,92,84,32,35,0
2022,6568,471190,40,56,26,26,0
2022,6568,471900,66,80,9,8,0
2022,6568,472111,1,1,1,1,0
2022,6568,472112,26,34,11,12,0
2022,6568,472120,48,84,31,42,0
2022,6568,472130,82,28,33,15,0
2022,6568,472140,23,7,12,6,0
2022,6568,472150,15,9,11,7,0
2022,6568,472160,31,9,16,6,0
2022,6568,472171,103,154,38,54,0
2022,6568,472172,8,10,3,4,0
2022,6568,472190,91,113,36,42,0
2022,6568,472200,4,2,3,2,0
2022,6568,473000,380,198,55,47,0
2022,6568,474010,31,11,12,10,0
2022,6568,474020,21,31,7,10,0
2022,6568,475110,1,9,1,6,0
2022,6568,475120,1,4,1,2,0
2022,6568,475190,20,10,10,6,0
2022,6568,475210,3,1,2,1,0
2022,6568,475220,9,2,4,2,0
2022,6568,475230,75,13,26,7,0
2022,6568,475240,49,11,22,8,2
2022,6568,475290,111,19,26,10,0
2022,6568,475300,139,73,14,12,0
2022,6568,475410,25,9,12,7,0
2022,6568,475420,5,7,3,4,0
2022,6568,475430,44,17,11,8,0
2022,6568,475440,27,40,12,14,0
2022,6568,475490,146,85,19,13,0
2022,6568,476110,19,21,7,8,2
2022,6568,476130,33,38,13,14,0
2022,6568,476310,30,41,7,6,0
2022,6568,476400,84,87,14,23,0
2022,6568,477110,2,38,2,15,0
2022,6568,477120,7,2,2,2,0
2022,6568,477130,6,60,5,25,0
2022,6568,477140,56,84,12,13,0
2022,6568,477190,91,293,46,124,2
2022,6568,477220,50,67,27,31,0
2022,6568,477230,16,35,3,5,0
2022,6568,477290,3,68,2,21,5
2022,6568,477310,266,536,43,55,0
2022,6568,477320,31,107,11,30,11
2022,6568,477330,7,20,4,11,0
2022,6568,477410,25,54,14,22,0
2022,6568,477420,7,32,6,15,0
2022,6568,477430,2,6,1,3,0
2022,6568,477440,16,15,5,6,0
2022,6568,477450,4,11,4,7,0
2022,6568,477470,27,31,16,13,0
2022,6568,477490,48,44,27,17,0
2022,6568,478010,6,2,2,1,0
2022,6568,478090,3,1,1,1,0
2022,6568,479101,17,7,8,3,0
2022,6568,479109,5,1,2,1,0
2022,6568,479900,21,11,4,8,0
2022,6568,491110,46,5,3,2,0
2022,6568,491200,25,2,1,1,0
2022,6568,492110,3518,34,14,6,0
2022,6568,492120,12,9,8,6,0
2022,6568,492130,10,3,3,2,0
2022,6568,492150,10,2,2,1,0
2022,6568,492180,10,4,4,2,0
2022,6568,492190,14,1,4,1,0
2022,6568,492229,29,1,9,1,0
2022,6568,492250,6,1,3,1,1
2022,6568,492280,148,4,41,3,0
2022,6568,492290,640,45,83,15,0
2022,6568,501100,1,1,1,1,0
2022,6568,501200,4,2,1,1,0
2022,6568,502200,9,1,2,1,3
2022,6568,511000,320,170,3,1,0
2022,6568,523039,348,14,2,2,0
2022,6568,523090,41,14,8,4,1
2022,6568,524120,48,10,24,4,0
2022,6568,524190,23,2,5,1,0
2022,6568,524330,14,1,1,1,2
2022,6568,530010,56,43,8,7,9
2022,6568,530090,31,3,4,2,0
2022,6568,551010,10,38,4,5,0
2022,6568,551021,1,7,1,1,0
2022,6568,551023,7,19,4,3,0
2022,6568,561011,85,54,18,20,0
2022,6568,561013,236,410,26,26,4
2022,6568,561014,35,53,6,7,0
2022,6568,561019,531,342,86,68,14
2022,6568,561020,42,24,8,10,0
2022,6568,561030,36,20,15,12,0
2022,6568,562010,77,37,17,14,0
2022,6568,562091,13,26,4,5,0
2022,6568,581100,7,11,3,7,4
2022,6568,591300,45,51,2,2,4
2022,6568,602900,36,12,2,1,0
2022,6568,611010,2,1,1,1,0
2022,6568,611090,33,23,4,5,9
2022,6568,612000,4,8,2,1,3
2022,6568,614010,13,8,2,2,0
2022,6568,619000,21,4,3,1,0
2022,6568,620100,182,74,30,17,0
2022,6568,620200,2,1,2,1,0
2022,6568,620300,3,1,2,1,0
2022,6568,620900,65,21,17,7,0
2022,6568,631110,24,13,1,3,0
2022,6568,631190,2,2,1,1,0
2022,6568,631200,17,13,2,2,0
2022,6568,641910,53,56,4,4,0
2022,6568,641930,116,185,29,31,0
2022,6568,649220,10,24,4,5,0
2022,6568,649290,3,25,3,5,0
2022,6568,651110,23,47,5,4,0
2022,6568,651120,2,4,1,1,0
2022,6568,651210,30,24,4,4,0
2022,6568,651220,32,28,7,5,0
2022,6568,651310,103,204,14,22,0
2022,6568,661910,7,5,1,1,0
2022,6568,661920,1,1,1,1,0
2022,6568,662010,1,2,1,2,0
2022,6568,662020,47,103,19,39,0
2022,6568,663000,2,2,1,2,0
2022,6568,681010,1,3,1,3,0
2022,6568,681098,105,41,36,26,0
2022,6568,681099,1,2,1,1,0
2022,6568,682010,14,8,12,8,0
2022,6568,682091,3,11,3,6,0
2022,6568,682099,22,34,16,22,0
2022,6568,691001,20,64,11,33,0
2022,6568,691002,15,83,9,34,0
2022,6568,692000,50,136,33,62,0
2022,6568,702091,5,2,5,2,0
2022,6568,702092,13,8,9,5,0
2022,6568,702099,49,42,17,20,0
2022,6568,711001,72,4,19,2,0
2022,6568,711003,228,30,20,9,0
2022,6568,711009,37,17,12,13,0
2022,6568,712000,5,1,1,1,0
2022,6568,721020,5,13,2,2,0
2022,6568,731009,12,12,4,2,0
2022,6568,741000,8,16,4,2,0
2022,6568,749009,21,3,3,2,0
2022,6568,750000,10,23,6,11,0
2022,6568,773010,4,1,1,1,0
2022,6568,773040,5,2,1,1,0
2022,6568,773090,33,8,3,2,0
2022,6568,780000,586,125,43,30,0
2022,6568,791100,7,23,6,11,0
2022,6568,791200,5,6,3,1,0
2022,6568,801020,8,8,2,2,0
2022,6568,801090,1420,202,47,23,0
2022,6568,812010,202,234,34,40,0
2022,6568,812020,30,8,3,3,0
2022,6568,812090,29,42,10,7,0
2022,6568,813000,19,1,2,1,0
2022,6568,821100,5,5,2,3,0
2022,6568,822000,11,68,3,8,0
2022,6568,829100,16,37,5,6,0
2022,6568,829900,210,129,66,53,2
2022,6568,841100,14,20,8,8,0
2022,6568,841300,2,1,1,1,0
2022,6568,841900,52,61,5,7,0
2022,6568,842300,1,1,1,1,0
2022,6568,842500,2,1,2,1,0
2022,6568,851010,4,80,3,7,0
2022,6568,851020,1050,3562,52,69,0
2022,6568,852100,116,392,8,8,0
2022,6568,852200,2,3,2,2,0
2022,6568,853100,76,153,6,6,0
2022,6568,853201,1414,1301,3,3,0
2022,6568,854910,2,16,1,5,0
2022,6568,854920,2,5,1,1,0
2022,6568,854930,8,6,2,1,0
2022,6568,854940,36,310,7,7,0
2022,6568,854950,1,4,1,3,0
2022,6568,854990,21,26,10,12,0
2022,6568,855000,4,1,1,1,0
2022,6568,861010,494,1512,7,8,0
2022,6568,861020,42,272,3,3,0
2022,6568,862110,4,35,2,17,0
2022,6568,862120,9,14,4,5,0
2022,6568,862130,9,14,2,3,0
2022,6568,862200,9,100,3,52,0
2022,6568,863110,43,163,11,24,0
2022,6568,863120,63,155,8,8,0
2022,6568,863190,2,9,1,1,0
2022,6568,863200,53,126,13,14,2
2022,6568,863300,6,39,3,12,0
2022,6568,864000,96,35,15,8,0
2022,6568,869090,180,655,30,71,0
2022,6568,870100,31,59,2,1,0
2022,6568,870210,44,364,15,26,0
2022,6568,880000,4,33,2,2,0
2022,6568,900011,1,6,1,2,0
2022,6568,910900,66,157,1,1,0
2022,6568,920001,5,44,5,29,0
2022,6568,920009,216,175,4,11,2
2022,6568,931010,95,45,12,12,0
2022,6568,931020,33,8,10,4,0
2022,6568,931042,58,4,4,2,0
2022,6568,931050,9,15,3,5,0
2022,6568,939090,1,4,1,1,2
2022,6568,941100,14,13,4,5,0
2022,6568,941200,15,45,5,7,0
2022,6568,942000,370,308,34,31,0
2022,6568,949100,33,118,9,12,2
2022,6568,949910,1,3,1,2,0
2022,6568,949920,200,181,149,168,0
2022,6568,949990,282,441,54,76,0
2022,6568,951100,1,1,1,1,0
2022,6568,952100,21,7,9,5,0
2022,6568,960102,2,9,2,4,0
2022,6568,960201,40,36,12,16,0
2022,6568,960300,22,35,5,8,0
2022,6568,960910,1,5,1,4,0
2022,6568,960990,41,44,26,36,0
2022,6568,990000,1,11,1,2,0
2022,6574,11119,17,2,7,2,0
2022,6574,11291,2,8,2,2,0
2022,6574,14113,102,12,47,7,0
2022,6574,14610,63,6,21,3,0
2022,6574,16119,9,1,3,1,0
2022,6574,16120,11,2,5,1,0
2022,6574,16299,3,2,1,1,0
2022,6574,101011,136,10,4,3,0
2022,6574,101020,68,3,4,2,0
2022,6574,101030,9,1,1,1,0
2022,6574,104011,26,2,1,1,0
2022,6574,105090,95,14,5,2,0
2022,6574,106110,120,19,3,3,2
2022,6574,107129,2,2,2,2,0
2022,6574,108000,26,3,4,2,0
2022,6574,161001,2,2,1,1,0
2022,6574,162909,14,3,1,1,0
2022,6574,170910,62,5,5,2,0
2022,6574,222090,14,1,2,1,1
2022,6574,271010,16,3,2,1,2
2022,6574,351320,59,10,1,1,0
2022,6574,410021,57,3,1,1,2
2022,6574,461011,58,9,4,3,0
2022,6574,463111,1,1,1,1,0
2022,6574,465990,4,1,2,1,0
2022,6574,471120,1,2,1,1,0
2022,6574,471130,1,1,1,1,0
2022,6574,472120,2,4,1,2,0
2022,6574,472140,1,2,1,1,0
2022,6574,473000,10,6,3,1,0
2022,6574,475490,5,1,1,1,0
2022,6574,477230,3,5,2,2,0
2022,6574,477310,2,8,2,4,0
2022,6574,491110,21,1,1,1,0
2022,6574,492290,30,1,10,1,0
2022,6574,561019,1,2,1,1,0
2022,6574,561030,1,5,1,3,0
2022,6574,562010,2,1,1,1,0
2022,6574,611090,17,3,2,1,3
2022,6574,619000,5,2,1,1,0
2022,6574,641930,4,2,1,1,0
2022,6574,651310,3,4,2,2,0
2022,6574,662020,1,3,1,3,0
2022,6574,702092,4,1,3,1,0
2022,6574,702099,5,4,3,2,0
2022,6574,750000,1,4,1,4,0
2022,6574,801090,7,1,2,1,0
2022,6574,829900,1,10,1,1,0
2022,6574,851020,17,116,2,2,0
2022,6574,863120,1,2,1,1,0
2022,6574,920001,4,8,3,4,0
2022,6574,931010,5,1,4,1,0
2022,6574,949100,11,45,2,1,0
2022,6574,949990,1,4,1,3,0
2022,6581,11112,43,8,15,7,0
2022,6581,11119,410,52,151,35,0
2022,6581,11211,39,3,15,2,0
2022,6581,11299,2,1,2,1,0
2022,6581,11310,63,1,5,1,0
2022,6581,13011,40,4,2,2,4
2022,6581,13012,21,1,1,1,2
2022,6581,14113,132,17,48,12,0
2022,6581,14114,21,5,4,3,0
2022,6581,14820,14,3,3,2,0
2022,6581,16190,10,1,4,1,0
2022,6581,22010,24,1,5,1,0
2022,6581,24010,4,1,2,1,0
2022,6581,104011,296,28,3,3,6
2022,6581,105010,1,7,1,1,0
2022,6581,105030,18,18,5,4,0
2022,6581,105090,14,3,1,1,0
2022,6581,107121,4,3,1,2,0
2022,6581,107129,9,13,6,10,0
2022,6581,107309,4,16,2,4,0
2022,6581,107410,6,4,4,2,0
2022,6581,107999,9,15,2,2,0
2022,6581,110411,5,2,1,1,0
2022,6581,141191,5,12,1,2,0
2022,6581,170102,26,1,1,1,0
2022,6581,170990,6,4,1,1,0
